track_name,artist_name,artist_count,date_released,streams,bpm,key,danceability,valence,energy,acousticness,spotify_url
I Can See You (Taylor Version),Taylor Swift,1,07/07/2023,52135248,123,F#,69,82,76,6,https://open.spotify.com/track/4q5YezDOIPcoLr8R81x9qy?si=d21dee0c716b423e
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,31/05/2023,200647221,133,F,85,81,67,26,https://open.spotify.com/track/5AqiaZwhmC6dIbgWrD5SzV?si=8476786595044ea3
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,02/06/2023,115364561,99,C#,85,83,68,7,https://open.spotify.com/track/6WzRpISELf3YglGAh7TXcG?si=6e8ce73314db46ce
SABOR FRESA,Fuerza Regida,1,22/06/2023,78300654,130,G,79,96,86,9,https://open.spotify.com/track/1UMm1Qs3u59Wvk53zBUE8r?si=26bf6b08ce2a429b
MOJABI GHOST,"Tainy, Bad Bunny",2,29/06/2023,61245289,122,F#,81,74,71,14,https://open.spotify.com/track/46YjJXVXWHlQ21odKktg5e?si=d8dbfbe8ae284eec
Last Night,Morgan Wallen,1,31/01/2023,429829812,204,F#,52,52,68,46,https://open.spotify.com/track/59uQI0PADDKeE6UZDTJEe8?si=8c702f9b8e72455e
Dance The Night (From Barbie The Album),Dua Lipa,1,25/05/2023,127408954,110,B,67,78,85,2,https://open.spotify.com/track/1vYXt7VSjH9JIM5oRRo7vA?si=0f8f2b714de74fda
Rush,Troye Sivan,1,13/07/2023,22581161,126,F,74,35,84,0,https://open.spotify.com/track/4ZnkygoWLzcGbQYCm3lkae?si=0ca996861e7d4dfb
TULUM,"Peso Pluma, Grupo Frontera",2,28/06/2023,52294266,168,F#,56,63,87,39,https://open.spotify.com/track/7bPp2NmpmyhLJ7zWazAXMu?si=93198af8c20f403c
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,02/12/2022,843957510,98,C#,71,17,61,36,https://open.spotify.com/track/2dHHgzDwk4BJdRwy9uXhTO?si=e2ebd86b50074ca1
Anti-Hero,Taylor Swift,1,21/10/2022,999748277,97,E,64,51,63,12,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu?si=de203748bf9a472d
TQG,"Karol G, Shakira",2,23/02/2023,618990393,180,E,72,61,63,67,https://open.spotify.com/track/0DWdj2oZMBFSzRsi2Cvfzf?si=cf6d550865d64754
Blank Space,Taylor Swift,1,01/01/2014,1355959075,96,F,75,57,68,9,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g?si=953e1e00c0a14971
Style,Taylor Swift,1+E39,01/01/2014,786181836,95,D,60,48,79,0,https://open.spotify.com/track/0ug5NqcwcFR2xrfTkc7k8e?si=9d19dbe8d30e4a45
TQM,Fuerza Regida,1,19/05/2023,176553476,125,F,79,96,85,27,https://open.spotify.com/track/368eeEO3Y2uZUQ6S5oIjcu?si=a369a15eb7b04849
El Azul,"Junior H, Peso Pluma",2,10/02/2023,354495408,144,A,56,84,65,23,https://open.spotify.com/track/1haJsMtoBhHfvuM7XWuT3W?si=d7d85896cec84737
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,09/10/2018,2808096550,90,D,76,91,50,54,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P?si=ccc8c837ac2a4881
I'm Good (Blue),"Bebe Rexha, David Guetta",2,26/08/2022,1109433169,128,G,56,38,97,4,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK?si=00715846ad4444a8
See You Again,"Tyler, The Creator, Kali Uchis",3,21/07/2017,1047101291,79,F#,56,58,56,37,https://open.spotify.com/track/2JzZzZUQj3Qff7wapcbKjc?si=c6bd0410cc4d44c0
Angels Like You,Miley Cyrus,1,27/11/2020,570515054,122,F,67,49,64,10,https://open.spotify.com/track/1daDRI9ahBonbWD8YcxOIB?si=348fe91bf1814396
Die For You,The Weeknd,1,24/11/2016,1647990401,134,C#,59,51,52,9,https://open.spotify.com/track/2Ch7LmS7r2Gy2kc64wv3Bz?si=ee6a7bb1a6424e3d
Starboy,"The Weeknd, Daft Punk",2,21/09/2016,2565529693,186,G,68,49,59,16,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB?si=03145e456290464a
Die For You - Remix,"Ariana Grande, The Weeknd",2,24/02/2023,518745108,67,C#,53,50,53,23,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB?si=c223600f2b374cff
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,02/06/2023,107753850,106,A#,72,17,64,7,https://open.spotify.com/track/4PA1wK0leCjmRZlP5dQ8Lv?si=6d688a9f91b4460d
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,06/04/2023,177740666,128,G,60,23,91,0,https://open.spotify.com/track/3BKD1PwArikchz2Zrlp1qi?si=69f18ac0f9bd46e2
AMARGURA,Karol G,1,24/02/2023,153372011,107,F#,92,55,70,18,https://open.spotify.com/track/505v13epFXodT9fVAJ6h8k?si=9c1cb877f3e440a5
(It Goes Like) Nanana - Edit,Peggy Gou,1,15/6+I54/2023,57876440,130,G,67,96,88,12,https://open.spotify.com/track/1BktkzhQ6rhP1jTREtUdPK?si=250f285ef1fe4b9a
Another Love,Tom Odell,1,15/10/2012,1813673666,123,E,45,13,54,70,https://open.spotify.com/track/3JvKfv6T31zO0ini8iNItO?si=758146d959bd4114
Blinding Lights,The Weeknd,1,29/11/2019,3703895074,171,C#,50,38,80,0,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b?si=272ecc91438344f4
Moonlight,Kali Uchis,1,24/02/2023,256483385,137,G,64,88,72,51,https://open.spotify.com/track/2i2gDpKKWjvnRTOZRhaPh2?si=100e3071fe7b4f6d
La Bachata,Manuel Turizo,1,26/05/2022,1214083358,125,G,84,85,68,58,https://open.spotify.com/track/5ww2BF9slyYgNOk37BlC4u?si=1b55a259d9ed46f0
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,03/02/2023,156338624,133,F,70,86,81,25,https://open.spotify.com/track/6AQbmUe0Qwf5PZnt4HmTXv?si=1b6bf1c6f96b4913
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,24/06/2022,720434240,101,D,88,72,59,62,https://open.spotify.com/track/5Odq8ohlgIbQKMZivbWkEo?si=78175bfec45b49e3
BESO,"Rauw Alejandro, ROSAL�",2,24/03/2023,357925728,95,F+O63,77,53,64,74,https://open.spotify.com/track/609E1JCInJncactoMmkDon?si=65ffd9f94a0046da
Hey Mor,"Ozuna, Feid",2,06/10/2022,674072710,98,C#,90,40,59,0,https://open.spotify.com/track/6Rpbzk2LC8xWZI93RyodAq?si=56f66db27ae34907
Yellow,Chris Molitor,1,01/01/1999,1755214421,173,B,43,28,66,0,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg?si=2c146aa081094e42
Karma,Taylor Swift,1,21/10/2022,404562836,90,G#,64,10,62,7,https://open.spotify.com/track/7KokYm8cMIXCsGVmUvKtqf?si=64cb4acfb16044d7
People,Libianca,1,2+K67/12/2022,373199958,198,A#,59,71,42,55,https://open.spotify.com/track/26b3oVLrRUaaybJulow9kz?si=ca42de6cf3ca4ee4
Overdrive,Post Malone,1,14/07/2023,14780425,140,C#,56,48,73,0,https://open.spotify.com/track/3g2IbUu44EVsQMLlxIMcSv?si=abbafb59360e49ef
Enchanted (Taylor's Version),Taylor Swift,1,07/07/2023,39578178,82,G#,51,22,53,1,https://open.spotify.com/track/3sW3oSbzsfecv9XoUdGs7h?si=1fdc928c388b4bac
BABY HELLO,"Rauw Alejandro, Bizarrap",2,23/06/2023,54266102,130,C#,77,84,89,17,https://open.spotify.com/track/2SOvWt6igzXViIjIiWNWEP?si=7a434ac640814c23
Heat Waves,Glass Animals,1,28/06/2020,2557975762,81,B,76,53,53,44,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp?si=b397a45ccbfb4c7d
golden hour,JVKE,1,15/07/2022,751134527,94,C#,51,14,59,65,https://open.spotify.com/track/4yNk9iz9WVJikRFle3XEvn?si=ba495a7094ef494a
Sweater Weather,The Neighbourhood,1,14/05/2012,2282771485,124,A#,61,41,81,5,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6?si=d857960ae76746fc
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,06/07/2022,1356565093,128,D,62,55,78,1,https://open.spotify.com/track/2tTmW7RDtMQtBk7m2rYeSw?si=8a0f114af579425f
Viva La Vida,Coldplay,1,01/01/2008,1592909789,138,F,49,42,62,9,https://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b?si=6e1b1fe226684805
Here With Me,d4vd,1,17/07/2022,635412045,132,E,58,27,48,50,https://open.spotify.com/track/5LrN7yUQAzvthd4QujgPFr?si=eef7cbadb4f64f50
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,22/09/2022,1230675890,131,D,71,24,47,1,https://open.spotify.com/track/3nqQXoyQOWXiESFLlDF1hG?si=fe0424ca90684236
Yandel 150,"Yandel, Feid",2,20/12/2022,585695368,168,F#,78,58,73,5,https://open.spotify.com/track/2oiixB9QMIzhWaHGVlQx4g?si=e433f3f2f2844b9d
Riptide,Vance Joy,1,01/01/1975,2009094673,102,C#,48,50,73,43,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm?si=50f1ac45600548ff
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,22/04/2022,600976848,101,A#,34,32,57,78,https://open.spotify.com/track/1Y3LN4zO1Edc2EluIoSPJN?si=cea08392c7de49c2
Novidade na ��,"Mc Livinho, DJ Matt D",2,23/06/2023,39709092,130,F,63,36,34,76,https://open.spotify.com/track/4M0S1NzJHewdf3555HtvPs?si=6e6856d4b6f24949
Back To December (Taylor's Version),Taylor Swift,1,07/07/2023,39228929,142,D,50,20,64,1,https://open.spotify.com/track/5l6GqSxplqnZbLg0LTPQeG?si=b4e28d2902fd4abf
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,09/07/2021,2665343922,170,C#,59,48,76,4,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20?si=2a85fd29ae324ab3
El Merengue,"Marshmello, Manuel Turizo",2,03/03/2023,223633238,124,G#,78,70,68,3,https://open.spotify.com/track/51FvjPEGKq2zByeeEQ43V9?si=9f21bf8557a849e8
Someone You Loved,Lewis Capaldi,1,08/11/2018,2887241814,110,C#,50,45,41,75,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf?si=750547a17f1143a0
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,06/05/2022,1440757818,92,C#,91,43,71,9,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx?si=bae37905e0b24ea3
Makeba,Jain,1,22/06/2015,165484133,116,D,82,40,66,39,https://open.spotify.com/track/5JdLUE9D743ob2RtgmVpVx?si=1a3cd839f2504335
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,20/06/2012,58054811,129,A,63,84,82,70,https://open.spotify.com/track/2EaS3WnOa9grF2QFTtFb5D?si=51e2e96cceb24f01
Fast Car,Luke Combs,1,24/03/2023,157058870,98,G#,71,67,60,19,https://open.spotify.com/track/2M9ro2krNb7nr7HSprkEgo?si=6893932835064135
What It Is (Solo Version),Doechii,1,17/03/2023,95131998,172,C#,74,76,76,6,https://open.spotify.com/track/73RbfOTJIjHzi2pcVHjeHM?si=ced1788729754815
Coco Chanel,"Bad Bunny, Eladio Carrion",2,17/3+I91/2023,250305248,150,D,68,14,76,4,https://open.spotify.com/track/0PB0O24JqAuNdOAFVJljMS?si=a328470f24354bb5
Still With You,Jung Kook,1,05/06/2020,38411956,88,C#,53,34,47,9,https://open.spotify.com/track/0eFMbKCRw8KByXyWBw8WO7?si=523a0d68f34e4a21
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,12/05/2023,144565150,143,D#,83,69,44,15,https://open.spotify.com/track/6HgWWaMu31KdOpEG5l28BG?si=f78406a737e7447e
Say Yes To Heaven,Lana Del Rey,1,17/03/2023,127567540,100,F#,49,17,35,71,https://open.spotify.com/track/6GGtHZgBycCgGBUhZo81xe?si=f981970bd5484f87
Snooze,SZA,1,09/12/2022,399686758,143,F,56,39,55,14,https://open.spotify.com/track/4iZ4pt7kvcaH6Yo8UoZ4s2?si=7cbba42959494f38
Summertime Sadness,Lana Del Rey,1,01/01/2011,983637508,112,C#,56,24,66,7,https://open.spotify.com/track/3BJe4B8zGnqEdQPMvfVjuS?si=f657c42d55fa4e48
Take Two,BTS,1,09/06/2023,118482347,93,G,62,57,59,3,https://open.spotify.com/track/5IAESfJjmOYu7cHyX557kz?si=8ad32317beeb43c0
Lover,Taylor Swift,1,01/01/2012,882831184,206,G,43,50,55,50,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI?si=245193532d374a5c
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,02/12/2022,286400165,88,G,68,17,71,15,https://open.spotify.com/track/2Hh3ETdQKrmSI3QS0hme7g?si=879054f7befa4a76
Chemical,Post Malone,1,14/04/2023,172825906,170,D,50,37,90,0,https://open.spotify.com/track/5w40ZYhbBMAlHYNDaVJIUu?si=b8294afd0bfc498b
Mockingbird,Eminem,1,01/01/2004,1241559043,84,E,62,24,67,21,https://open.spotify.com/track/561jH07mF1jHuk7KlaeF0s?si=636aa4a0a8a24ac4
New Jeans,NewJeans,1,07/07/2023,29562220,134,E,81,53,72,51,https://open.spotify.com/track/6rdkCkjk6D12xRpdMXy0I2?si=767f57b822704112
Primera Cita,Carin Leon,1,20/04/2022,77309611,158,A#,54,50,40,61,https://open.spotify.com/track/3fJHbMUnzceimOnNjp63fF?si=3f9189f476094e5b
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,10/11/2017,1605224506,116,C#,80,92,80,4,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz?si=5cb5489870164899
Dandelions,Ruth B.,1,28/04/2017,1116995633,117,C#,61,45,69,2,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV?si=e8c2700ba85d485f
Bones,Imagine Dragons,1,11/03/2021,838079900,114,F,77,65,72,2,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G?si=71d4ec1007404866
Set Fire to the Rain,Adele,1,01/01/2011,1163620694,108,D,61,47,68,0,https://open.spotify.com/track/3di5hcvxxciiqwMH1jarhY?si=84251997af6b437d
Money Trees,"Kendrick Lamar, Jay Rock",2,01/01/2012,1093605526,144,E,74,37,53,7,https://open.spotify.com/track/74tLlkN3rgVzRqQJgPfink?si=83990b4a4f2e45bb
Tak Segampang Itu,Anggi Marito,1,02/12/2022,179659294,130,F,51,18,44,76,https://open.spotify.com/track/26cvTWJq2E1QqN4jyH2OTU?si=783cbbe43a4f441b
LAGUNAS,"Jasiel Nu��ez, Peso P",2,22/06/2023,39058561,116,B,77,79,62,33,https://open.spotify.com/track/3HOKxuTDmNVmIlCIpBiD8m?si=97b6f9ddb6794231
Mine (Taylor's Version),Taylor Swift,1,07/07/2023,36912123,121,G,65,49,78,0,https://open.spotify.com/track/7G0gBu6nLdhFDPRLc0HdDG?si=6ba1f38b65654a81
Everybody Wants To Rule The World,Tears For Fears,1,17/02/1985,1205951614,112,G,64,54,81,36,https://open.spotify.com/track/4RvWPyQ5RL0ao9LPZeSouE?si=d6e4248650a844fb
No Role Modelz,J. Cole,1,09/12/2014,1791000570,100,A#,70,47,52,30,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr?si=6fcf5eeae6034f5f
Tattoo,Loreen,1,25/02/2023,201660859,150,D#,55,30,78,24,https://open.spotify.com/track/1DmW5Ep6ywYwxc2HMT5BG6?si=238fe602dd064cdc
Rara Vez,"Taiu, Milo j",2,08/02/2023,248088961,120,F,84,96,71,18,https://open.spotify.com/track/7MVIfkyzuUmQ716j8U7yGR?si=17494845f9ad45e6
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Be��",3,12/05/2023,90839753,127,B,82,89,85,4,https://open.spotify.com/track/1MB8kTH7VKvAMfL9SHgJmG?si=58e02483d1e9410d
august,Taylor Swift,1,24/07/2020,607123776,90,F,51,42,61,53,https://open.spotify.com/track/3hUxzQpSfdDqwM3ZTFQY0K?si=5180752e01d24244
LUNA,"Junior H, Peso Pluma",2,22/06/2023,55842345,128,A,75,79,63,33,https://open.spotify.com/track/7bywjHOc0wSjGGbj04XbVi?si=43c9d962509c43e8
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,10/03/2023,211050784,143,A,64,31,87,4,https://open.spotify.com/track/5eTaQYBE1yrActixMAeLcZ?si=f14c90bb04e04aa6
Nonsense,Sabrina Carpenter,1,15/07/2022,342897938,139,G#,74,68,68,3,https://open.spotify.com/track/6dgUya35uo964z7GZXM07g?si=824d25b4671e40ad
Que Vuelvas,"Carin Leon, Grupo Frontera",2,09/12/2022,2762,162,A#,49,78,64,19,https://open.spotify.com/track/6Um358vY92UBv5DloTRX9L?si=2c9d9135203f4db2
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,16/08/2011,1953533826,146,D,63,88,93,3,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn?si=73bcf5de960a4b15
lovely - Bonus Track,"Billie Eilish, Khalid",2,11/08/2017,2355719893,115,E,35,12,30,93,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4?si=7698753910f74363
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,21/06/2023,66902503,128,B,78,59,65,10,https://open.spotify.com/track/2NFadq6pUeiVEihLvUlOSr?si=a11ca70063684031
Queencard,(G)I-DLE,1,15/05/2023,96273746,130,E,82,69,83,3,https://open.spotify.com/track/4uOBL4DDWWVx4RhYKlPbPC?si=3078c349d6ce4dcd
OMG,NewJeans,1,02/01/2023,430977451,127,A,80,74,77,36,https://open.spotify.com/track/65FftemJ1DbbZ45DUfHJXE?si=7b7bdf9d8dbf456d
Radio,Lana Del Rey,1,01/01/2011,284819874,150,D,42,20,86,21,https://open.spotify.com/track/3taCbWWTilb7eNMsAzOBq4?si=a658f628cbf34cba
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,11/01/2023,721975598,122,D,78,50,63,27,https://open.spotify.com/track/4nrPB8O7Y7wsOCJdgXkthe?si=a704595fa5184ecb
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,02/12/2022,276259178,119,C#,75,48,53,18,https://open.spotify.com/track/5wG3HvLhF6Y5KTGlK0IW3J?si=51075a1b9ec049f9
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,22/05/2023,54225632,110,G,76,96,72,32,https://open.spotify.com/track/75DRLUnnltzSyuTJ7onxmW?si=caa2831dfe5044a0
Perfect,Ed Sheeran,1,01/01/2017,2559529074,95,G#,60,17,45,16,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v?si=059d3fa409634d2f
Romantic Homicide,d4vd,1,20/07/2022,681583126,132,F#,56,20,55,45,https://open.spotify.com/track/1xK59OXxi2TAAAbmZK0kBL?si=ff904236ec0f4f2d
Believer,Imagine Dragons,1,31/01/2017,2594040133,125,A#,77,74,78,4,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP?si=4ba7f1780e724b9b
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,01/06/2023,11956641,133,B,93,68,65,42,https://open.spotify.com/track/0U9CZWq6umZsN432nh3WWT?si=4fa6b1b69db74e74
Without Me,Eminem,1,01/01/2002,1687664027,112,G,92,67,66,0,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk?si=2db3442f5d9b447a
Stargirl Interlude,"The Weeknd, Lana Del Rey",2,24/11/2016,611700552,90,F,59,52,48,38,https://open.spotify.com/track/4EDijkJdHBZZ0GwJ12iTAj?si=ad99e3bb76074743
Ojitos Lindos,"Bomba Est��reo, Bad B",2,06/05/2022,1133865788,80,D#,65,27,69,8,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW?si=740d896436ed443c
Somewhere Only We Know,Keane,1,01/01/2004,1089402494,172,A,45,33,59,6,https://open.spotify.com/track/1SKPmfSYaPsETbRHaiA18G?si=9d453725089f4381
Those Eyes,New West,1,10/05/2019,411747614,120,E,60,24,35,73,https://open.spotify.com/track/50x1Ic8CaXkYNvjmxe3WXy?si=c510d52637c44de9
El Gordo Trae El Mando,Chino Pacas,1,27/01/2023,255932395,140,G,74,96,80,18,https://open.spotify.com/track/4zbewOgFrS87dybltwUwZ3?si=fc38642d68de472d
Mi Bello Angel,Natanael Cano,1,30/06/2023,31873544,128,A,81,90,77,1,https://open.spotify.com/track/4t46soaqA758rbukTO5pp1?si=087d594156174eea
Nosso Quadro,"Ana Castela, AgroPlay",2,02/02/2023,233801632,160,A,69,61,71,33,https://open.spotify.com/track/1bzRhnrWU1l1u4Bby9ZbfQ?si=29c782011ca346c8
Locked Out Of Heaven,Bruno Mars,1,05/12/2012,1481349984,144,F,73,87,70,6,https://open.spotify.com/track/3w3y8KPTfNeOKPiqUTakBh?si=d072727c69594f23
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,04/04/2023,142095275,192,B,50,85,52,11,https://open.spotify.com/track/3tiJUOfAEqIrLFRQgGgdoY?si=e829a1e093564691
Counting Stars,OneRepublic,1,01/01/2013,2011464183,122,C#,66,48,71,6,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1?si=c6d146dc0a0f49d1
Ghost,Justin Bieber,1,19/03/2021,1167330737,154,D,61,41,74,21,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G?si=9633d3f395d644f7
Under The Influence,Chris Brown,1,04/10/2019,929964809,117,A,73,31,69,6,https://open.spotify.com/track/5IgjP7X4th6nMNDh4akUHb?si=44d5c9dc32f34569
PRC,"Natanael Cano, Peso Pluma",2,23/01/2023,436027885,138,G,78,89,83,10,https://open.spotify.com/track/2mpoNBkngUEwnaKoBhZ0vl?si=f30a35c3afcf4328
One Dance,"Drake, WizKid, Kyla",3,04/04/2016,2713922350,104,C#,77,36,63,1,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0?si=7fe0b8c44b21454b
Enchanted,Taylor Swift,1,01/01/2010,621660989,164,G#,45,24,62,8,https://open.spotify.com/track/04S1pkp1VaIqjg8zZqknR5?si=f169ab7737534824
Sure Thing,Miguel,1,25/05/2010,950906471,81,B,68,51,60,3,https://open.spotify.com/track/0JXXNGljqupsJaZsgSbMZV?si=f72092a2a4fb4f75
Every Breath You Take - Remastered 2003,The Police,1,06/01/1983,1593270737,117,C#,82,73,45,54,https://open.spotify.com/track/5PaCfGN1JkRmHQ22KKhMck?si=381d68ed12e94783
The Night We Met,Lord Huron,1,02/02/2015,1410088830,174,D,45,10,37,97,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU?si=f8e8ca80d13a4203
We Found Love,"Rihanna, Calvin Harris",2,01/01/2011,1235005533,128,C#,73,60,77,3,https://open.spotify.com/track/6qn9YLKt13AGvpq9jfO8py?si=34d3a269f94e419c
Let Me Down Slowly,Alec Benjamin,1,25/05/2018,1374581173,150,C#,65,51,55,73,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d?si=eda267a4db664134
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,02/06/2023,94186466,90,A,60,13,53,4,https://open.spotify.com/track/6Ec5LeRzkisa5KJtwLfOoW?si=3e0f2ccda91a45e3
Do I Wanna Know?,Arctic Monkeys,1,01/01/2013,1788326445,85,F,55,42,53,17,https://open.spotify.com/track/5FVd6KXrgO9B3JPmC8OPst?si=79c2d40b1f0f47b8
Demons,Imagine Dragons,1,01/01/2012,1840364617,180,D#,33,38,71,20,https://open.spotify.com/track/5qaEfEh1AtSdrdrByCP7qR?si=db886dce646f49e3
